SKU,Barcode,UPC/EAN,listing_url_ASIN,Name,Weight,Units,UOM,Grams,Cost,Price,Type,Brand,Manufacturer,Note,Location,Condition,Item ID,Power,buybox_new_landed_price,buybox_new_listing_price,buybox_new_shipping_price,buybox_new_subcondition,buybox_used_listing_price,buybox_used_shipping_price,buybox_used_subcondition,fba_fee_total,fba_monthly_storage,fba_order_handling,fba_pick_pack,fba_tier_level,fba_weight_handling,has_super_saver_shipping,list_price_amount,lowest_new_price_fba,lowest_new_price_merchant,sales_rank,additional_image_1,additional_image_2,additional_image_3,additional_image_4,additional_image_5,all_images,description,hazardous_material_type,item_type_keyword,large_image,listing_url,package_dimensions_height,package_dimensions_length,package_dimensions_weight,package_dimensions_width,parent_asin,product_type_name,product_group,size,Barcode.1,Name_clean,asin,Created,Quantity,My warehouse
SKU-825C2B37,2055309912675,678298326241,B0BMSD7KGC,"1pc 54""x63"" Light Filtering Diamond Border Window Curtain Panel White - Opalhouse designed with Jungalow (Please be advised that sets may be missing pieces or otherwise incomplete.)",Missing ,Missing,,,0,25.0,HOME,Regal Home Collections,Regal Home Collections,,,,,,16.99,16.99,0.0,New,0.0,0.0,,5.66,0.29,0.0,5.37,Large Standard Size,0.0,1.0,19.99,16.99,0.0,23026.0,https://m.media-amazon.com/images/I/71IoHomvXGL.jpg,https://m.media-amazon.com/images/I/71El07PLHFL.jpg,https://m.media-amazon.com/images/I/81M2JDjbdWL.jpg,https://m.media-amazon.com/images/I/61c7Mmo7hoL.jpg,https://m.media-amazon.com/images/I/81-7IPaCjbL.jpg,"https://m.media-amazon.com/images/I/71IoHomvXGL.jpg,https://m.media-amazon.com/images/I/71El07PLHFL.jpg,https://m.media-amazon.com/images/I/81M2JDjbdWL.jpg,https://m.media-amazon.com/images/I/61c7Mmo7hoL.jpg,https://m.media-amazon.com/images/I/81-7IPaCjbL.jpg,https://m.media-amazon.com/images/I/719yVrwpUfL.jpg","Regal Home Collections 5-Piece Window Set Easily decorate any room without spending a fortune. This 5-piece window curtain set features two window panels with an attached valance and two tie backs to give your bedroom, living room, or dining room an elegant, finished look. Curtains are hung together on one standard curtain rod. Window curtain set is available in three light levels: sheer curtains, light filtering curtains, and room darkening curtains that block out a good amount of light and provide a great deal of privacy. Curtains come in a variety of widths and all measure a floor-grazing 84 inches long. Curtain has a rod pocket top with a 3-inch internal diameter to perfectly fit most decorative or tension rods of your choice. Easy-care curtains are machine washable. Machine wash cold on gentle cycle and tumble dry low. Only use non-chlorine bleach. Iron on lowest setting if needed.",,window-treatment-panels,https://m.media-amazon.com/images/I/71IoHomvXGL.jpg,https://www.amazon.com/dp/B0BMSD7KGC,1.889999998,11.45999999,1.171,9.60999999,B0CWPG1KSB,CURTAIN,Kitchen,"54""X63"" 5PCs. Window Set",,"1pc 54""x63"" light filtering diamond border window curtain panel white - opalhouse designed with jungalow (please be advised that sets may be missing pieces or otherwise incomplete.)",B0BMSD7KGC,2024-09-16 18:19:54,4,4
SKU-M16LBPXD,2077020972608,754870419102,B07VXKYQYZ,2-Wick 19oz Glass Jar Caramel Latte Candle - Home Scents,19oz,19,oz,538.65,0,11.89,HOME,Aromascape,Aromascape,,,,,,28.95,28.95,0.0,New,0.0,0.0,,8.27,0.94,0.0,7.33,Large Standard Size,0.0,1.0,16.99,28.5,0.0,73404.0,https://m.media-amazon.com/images/I/71T-2EU7haL.jpg,https://m.media-amazon.com/images/I/816K-BzMFUL.jpg,,,,"https://m.media-amazon.com/images/I/71T-2EU7haL.jpg,https://m.media-amazon.com/images/I/816K-BzMFUL.jpg","Indulge in a caramel delight as notes of toffee crumbles, warm nutmeg, and cinnamon are sprinkled atop whipped vanilla cream. The Aromascape Collection features delicate and unique home fragrances. Drawing inspiration from tropical locales and lush botanicals. Trimming wick ensures an even burn. To reduce scooting, trim wick to 1/4-Inch prior to lighting. Do not allow wick trimmings to accumulate in wax pool. As a general guideline, do not burn more than 2 hours at one use.",,jar-candles,https://m.media-amazon.com/images/I/71T-2EU7haL.jpg,https://www.amazon.com/dp/B07VXKYQYZ,6.599999993,11.19999999,3.6,9.199999991,B0B5F5KZDT,CANDLE,Home,Large Jar,,2-wick 19oz glass jar caramel latte candle - home scents,B07VXKYQYZ,2024-09-16 18:19:57,1,1
SKU-3XKWMXVY,2031525135197,Unknown,B0DHRYR8KG,2-Wick Black Glass Pumpkin Bourbon Lidded Jar Candle 12oz - The Collection by Chesapeake Bay Candle,12oz,12,oz,340.20000000000005,0,15.29,HOME,Generic,Threshold,,,,,,26.99,26.99,0.0,New,0.0,0.0,,4.6,0.05,0.0,4.55,Large Standard Size,0.0,,33.0,0.0,26.99,711700.0,https://m.media-amazon.com/images/I/61gTRCEYRfL.jpg,https://m.media-amazon.com/images/I/71utQVYIahL.jpg,https://m.media-amazon.com/images/I/61+Hqd0a9gL.jpg,https://m.media-amazon.com/images/I/61HsKFXlqWL.jpg,https://m.media-amazon.com/images/I/61N290zwRIL.jpg,"https://m.media-amazon.com/images/I/61gTRCEYRfL.jpg,https://m.media-amazon.com/images/I/71utQVYIahL.jpg,https://m.media-amazon.com/images/I/61+Hqd0a9gL.jpg,https://m.media-amazon.com/images/I/61HsKFXlqWL.jpg,https://m.media-amazon.com/images/I/61N290zwRIL.jpg","Celebrate the spirit of autumn with the 15.1oz Brown Bourbon Pumpkin Scented Candle from Threshold. This beautifully crafted candle features a rich bourbon pumpkin scent that creates a warm, inviting atmosphere perfect for any room. Encased in an elegant brown lidded glass jar, this candle not only complements your home dÃ©cor but also keeps the fragrance fresh when not in use. With its dual-wick design, it burns evenly, ensuring a consistent scent experience for up to 60 hours. Whether youâre winding down after a long day, hosting a gathering, or seeking a thoughtful gift, the Bourbon Pumpkin Candle is the ideal choice for enhancing your space this fall. Experience the comforting benefits of aromatherapy and elevate your ambiance today!",,jar-candles,https://m.media-amazon.com/images/I/61gTRCEYRfL.jpg,https://www.amazon.com/dp/B0DHRYR8KG,2.98,4.0,1.0,3.0,,CANDLE,Lighting,,,2-wick black glass pumpkin bourbon lidded jar candle 12oz - the collection by chesapeake bay candle,B0DHRYR8KG,2024-09-16 18:19:54,4,4
SKU-T60293YZ,2047439595842,192833267153,B0D1HFYBKX,2-Wick White Glass Gray Flannel Lidded Jar Candle 12oz - The Collection by Chesapeake Bay Candle,12oz,12,oz,340.20000000000005,0,15.29,HOME,Chesapeake Bay Candle,Newell Brands,,,,,,16.7,16.7,0.0,New,0.0,0.0,,6.48,0.43,0.0,6.05,Large Standard Size,0.0,1.0,17.99,16.7,0.0,433384.0,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,https://images-na.ssl-images-amazon.com/images/I/31kOH4IU5tL.jpg,,,,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,"Enjoy iconic fragrance in an elevated fashion look with The Collection by Chesapeake Bay CandleÂ®. This elegant 2-wick candle captures urban style and energy, and the brushed copper-metal lid adds functional style to make an ideal gift for yourself or others.",,jar-candles,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,https://www.amazon.com/dp/B0D1HFYBKX,5.118110231,9.566929124,2.304,6.377952749,B0D4G7N936,CANDLE,Beauty,,,2-wick white glass gray flannel lidded jar candle 12oz - the collection by chesapeake bay candle,B0D1HFYBKX,2024-09-16 18:19:54,11,11
SKU-2SJY8I41,2091886301105,192833267153,B0D1HFYBKX,2-Wick White Glass Gray Flannel Lidded Jar Candle 12oz - The Collection by Chesapeake Bay Candle,12oz,12,oz,340.20000000000005,0,15.29,HOME,Chesapeake Bay Candle,Newell Brands,,,,,,16.7,16.7,0.0,New,0.0,0.0,,6.48,0.43,0.0,6.05,Large Standard Size,0.0,1.0,17.99,16.7,0.0,433384.0,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,https://images-na.ssl-images-amazon.com/images/I/31kOH4IU5tL.jpg,,,,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,"Enjoy iconic fragrance in an elevated fashion look with The Collection by Chesapeake Bay CandleÂ®. This elegant 2-wick candle captures urban style and energy, and the brushed copper-metal lid adds functional style to make an ideal gift for yourself or others.",,jar-candles,https://m.media-amazon.com/images/I/61o6bx5mh9L.jpg,https://www.amazon.com/dp/B0D1HFYBKX,5.118110231,9.566929124,2.304,6.377952749,B0D4G7N936,CANDLE,Beauty,,,2-wick white glass gray flannel lidded jar candle 12oz - the collection by chesapeake bay candle,B0D1HFYBKX,2024-09-16 18:19:54,5,5
SKU-BN2N1XH0,2050632408727,8746846042195,B0BW7C7ZWP,2.1bu Lamper Gray - Brightroom,Missing ,Missing,,,0,11.0,FURNITURE,EGEN,chikaisintai,,,,,,19.99,19.99,0.0,New,0.0,0.0,,33.86,5.63,0.0,28.23,Small Over Size,0.0,,18.89,0.0,19.99,75841.0,https://m.media-amazon.com/images/I/71mWXP2Dn3L.jpg,https://m.media-amazon.com/images/I/81KjC1t0SZL.jpg,https://m.media-amazon.com/images/I/71A0mgB7GvL.jpg,https://m.media-amazon.com/images/I/81TgvzgwJoL.jpg,https://m.media-amazon.com/images/I/719NF0Cuj4L.jpg,"https://m.media-amazon.com/images/I/71mWXP2Dn3L.jpg,https://m.media-amazon.com/images/I/81KjC1t0SZL.jpg,https://m.media-amazon.com/images/I/71A0mgB7GvL.jpg,https://m.media-amazon.com/images/I/81TgvzgwJoL.jpg,https://m.media-amazon.com/images/I/719NF0Cuj4L.jpg","Use Home Logic's Lamper to collect and transport laundry throughout your home. This multi-purpose laundry basket-hamper combination helps make your laundry routine easier. The diamond hole pattern offers attractive functionality by providing ventilation to help with odors from dirty clothes. This laundry hamper features a unique two way carry, four handle design that allows you to easily carry throughout your home. Our laundry basket is specially designed for space savings. Fits in closets and on top of laundry machines. Making it the perfect size for any home, apartment, or dorm room. The large capacity laundry basket makes it easy to store more of your dirty clothes. The 2 bushel capacity is perfect for large families. Ideal for a dirty clothes hamper or to organize toys, balls, and sports equipment. The Home Logic Bushel Lamper is made of strong and durable materials our plastic hamper will last for years to come. <ul> <li>Fits in closets, on top of laundry machines, and transports easily</li> <li>4 Handles for easy carrying</li> <li>Organize toys, balls and sports equipment too</li> <li>High-quality resin</li> <li>Made of durable plastic with a breathable woven design</li> </ul>",,laundry-baskets,https://m.media-amazon.com/images/I/71mWXP2Dn3L.jpg,https://www.amazon.com/dp/B0BW7C7ZWP,16.99999998,21.49999998,3.0,18.99999998,B0BW7C7ZWP,LAUNDRY_HAMPER,Home Improvement,Large,,2.1bu lamper gray - brightroom,B0BW7C7ZWP,2024-09-16 18:19:55,4,4
SKU-75Q1TK2K,2067371006084,749732761307,B0BF2R7KVT,2.2bu Flexible Laundry Hamper Gray - Brightroom,Missing ,Missing,,,0,7.0,FURNITURE,CLOROX,"Volume Distributors, Inc.",,,,,,24.99,24.99,0.0,New,0.0,0.0,,50.11,6.24,0.0,43.87,Small Over Size,0.0,,24.99,0.0,24.99,6254.0,https://m.media-amazon.com/images/I/51bpyKZY-UL.jpg,https://m.media-amazon.com/images/I/616GAYYWTtL.jpg,https://m.media-amazon.com/images/I/61qM-VdSiGL.jpg,https://m.media-amazon.com/images/I/61tlb94eGIL.jpg,https://m.media-amazon.com/images/I/61LOP90upfL.jpg,"https://m.media-amazon.com/images/I/51bpyKZY-UL.jpg,https://m.media-amazon.com/images/I/616GAYYWTtL.jpg,https://m.media-amazon.com/images/I/61qM-VdSiGL.jpg,https://m.media-amazon.com/images/I/61tlb94eGIL.jpg,https://m.media-amazon.com/images/I/61LOP90upfL.jpg,https://m.media-amazon.com/images/I/51I6vlC-bFL.jpg","Clorox Flexible Laundry Basket - Tall Plastic Hamper for Clothes, Bedroom, and Storage - Portable Round Bin with Carry Handles, 2 Bushel, Grey",,laundry-hampers,https://m.media-amazon.com/images/I/51bpyKZY-UL.jpg,https://www.amazon.com/dp/B0BF2R7KVT,13.99999999,24.99999997,4.449,21.99999998,B0BFRYSWT6,LAUNDRY_HAMPER,Home,2 Bushel,,2.2bu flexible laundry hamper gray - brightroom,B0BF2R7KVT,2024-09-16 18:19:54,24,24
SKU-WMA3TXF0,2001273442151,Unknown,Unknown,2.7 fl oz Clear Glass Room Spray Wildwood - Room Essentials,2.7 FL oz,2.7,FL oz,79.84852981875001,0,5.0,LAUNDRY CLEANING AND CLOSET,Room Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16 18:19:57,1,1
SKU-W58ZKT0U,2003001155197,Unknown,B0CS6YRVCC,2pc Color Block Printed Woven Cotton Throw Pillows Pink - Room Essentials (Please be advised that sets may be missing pieces or otherwise incomplete.),Missing ,Missing,,,0,20.0,HOME,CPC COTTON PRINT CLUB,RIDHI,,,,,,39.99,39.99,0.0,New,0.0,0.0,,4.64,0.17,0.0,4.47,Large Standard Size,0.0,1.0,39.99,39.99,0.0,41836.0,https://m.media-amazon.com/images/I/910ky7JncIL.jpg,https://m.media-amazon.com/images/I/81oKL3TACnL.jpg,https://m.media-amazon.com/images/I/71vKUV0ONUL.jpg,https://m.media-amazon.com/images/I/71jIqsCmIHL.jpg,https://m.media-amazon.com/images/I/91uy3RgAsfL.jpg,"https://m.media-amazon.com/images/I/910ky7JncIL.jpg,https://m.media-amazon.com/images/I/81oKL3TACnL.jpg,https://m.media-amazon.com/images/I/71vKUV0ONUL.jpg,https://m.media-amazon.com/images/I/71jIqsCmIHL.jpg,https://m.media-amazon.com/images/I/91uy3RgAsfL.jpg,https://m.media-amazon.com/images/I/81mBcOVLWOL.jpg,https://m.media-amazon.com/images/I/81GUmP5JBeL.jpg,https://m.media-amazon.com/images/I/71pn5ABXrQL.jpg","decor your home with this set of 2 hand printed throw pillow covers, each measuring 18x18,20x20 inches and made from 100% cotton and Hidden Zipper. The standout feature of these pillows is the stunning hand print artwork, meticulously crafted using traditional techniques. Each design showcases intricate patterns and vibrant colors, making every pillow a unique piece of art. Perfect for adding a touch of elegance and artisanal charm to your living room, bed, or sofa, these Cushions are also suitable for outdoor use. Infuse your space with the beauty of handcrafted artistry and elevate your decor with these eye-catching accents.",,throw-pillow-covers,https://m.media-amazon.com/images/I/910ky7JncIL.jpg,https://www.amazon.com/dp/B0CS6YRVCC,1.179999999,10.42999999,0.529,10.23999999,B0CYQLNYSY,DECORATIVE_PILLOW_COVER,Home,20x20 Inch,,2pc color block printed woven cotton throw pillows pink - room essentials (please be advised that sets may be missing pieces or otherwise incomplete.),B0CS6YRVCC,2024-09-16 18:19:54,9,9
SKU-3KZB3WAM,2000573131727,Unknown,B0DFTV1RV4,2pc Popperton Arched Wicker Outdoor Patio Dining Chair Armless Chair Black - Threshold designed with Studio McGee (Please be advised that sets may be missing pieces or otherwise incomplete.),Missing ,Missing,,,0,225.0,PATIO & OUTDOOR DECOR,POUUIN,POUUIN,,,,,,239.0,239.0,0.0,New,0.0,0.0,,220.47,25.52,0.0,194.95,Special Over Size,0.0,,399.0,0.0,239.0,301565.0,https://m.media-amazon.com/images/I/912LcbgFtbL.jpg,https://m.media-amazon.com/images/I/81iRE7wR3GL.jpg,https://m.media-amazon.com/images/I/91jM97RBCqL.jpg,https://m.media-amazon.com/images/I/91NjDjyZwEL.jpg,https://m.media-amazon.com/images/I/81cUK6NkLyL.jpg,"https://m.media-amazon.com/images/I/912LcbgFtbL.jpg,https://m.media-amazon.com/images/I/81iRE7wR3GL.jpg,https://m.media-amazon.com/images/I/91jM97RBCqL.jpg,https://m.media-amazon.com/images/I/91NjDjyZwEL.jpg,https://m.media-amazon.com/images/I/81cUK6NkLyL.jpg,https://m.media-amazon.com/images/I/71RZxMsDXrL.jpg","<p> Graceful Elegance </p> <p> Our rattan chairs are a testament to refined design, harmonizing visual appeal with ergonomic comfort. this ensemble not only delights the eye but also creates an inviting retreat for relaxation and social gatherings. </p> <p> Durable Craftsmanship </p> <p> Expertly woven from premium PE rattan over a robust steel frame, this furniture set is an embodiment of longevity. Engineered to endure the elements, these pieces are both resilient and weather-resistant, ensuring they remain a staple in your outdoor decor for years to come. </p> <p> Intimate Gatherings </p> <p> Take center stage with our charming fire pit, a beacon of warmth and conviviality. Whether it's a tranquil evening stargazing or a lively gathering, this focal point enhances your outdoor moments, fostering warmth and lively conversation. </p> <p> Hassle-Free Care </p> <p> Maintaining the allure of our furniture set is effortless - simply clean and care for it with minimal effort to keep it looking pristine. This commitment to low-maintenance design ensures it remains a beloved fixture in your outdoor haven for seasons to come. </p> <p> Ready to Enchant </p> <p> Unbox and instantly transform your patio or garden with this enchanting set. With its enduring charm and practicality, it's an investment that guarantees an abundance of blissful outdoor moments. </p>",,patio-conversation-sets,https://m.media-amazon.com/images/I/912LcbgFtbL.jpg,https://www.amazon.com/dp/B0DFTV1RV4,30.0,35.0,36.0,30.0,B0DFTSR9NG,CHAIR,Furniture,2 Single Chairs,,2pc popperton arched wicker outdoor patio dining chair armless chair black - threshold designed with studio mcgee (please be advised that sets may be missing pieces or otherwise incomplete.),B0DFTV1RV4,2024-09-16 18:19:54,1,1
